대여일시,대여건수,,,,
2021-02-01," 41,152 ",,,,
2021-02-02," 31,136 ",,,,
2021-02-03," 31,016 ",,,,
2021-02-04," 20,201 ",,,,
2021-02-05," 37,675 ",,,,
2021-02-06," 41,507 ",,,,
2021-02-07," 35,676 ",,,,
2021-02-08," 34,253 ",,,,
2021-02-09," 41,159 ",,,,
2021-02-10," 46,659 ",,,,
2021-02-11," 37,794 ",,,,
2021-02-12," 38,251 ",,,,
2021-02-13," 51,329 ",,,,
2021-02-14," 44,734 ",,,,
2021-02-15," 32,504 ",,,,
2021-02-16," 23,008 ",,,,
2021-02-17," 23,281 ",,,,
2021-02-18," 30,267 ",,,,
2021-02-19," 45,223 ",,,,
2021-02-20," 60,703 ",,,,
2021-02-21," 71,467 ",,,,
2021-02-22," 54,943 ",,,,
2021-02-23," 45,246 ",,,,
2021-02-24," 54,470 ",,,,
2021-02-25," 53,694 ",,,,
2021-02-26," 67,686 ",,,,
2021-02-27," 76,214 ",,,,
2021-02-28," 63,298 ",,,,
2021-03-01," 2,966 ",,,,
2021-03-02," 51,013 ",,,,
2021-03-03," 62,386 ",,,,
2021-03-04," 66,283 ",,,,
2021-03-05," 76,821 ",,,,
2021-03-06," 61,833 ",,,,
2021-03-07," 72,037 ",,,,
2021-03-08," 71,470 ",,,,
2021-03-09," 72,364 ",,,,
2021-03-10," 77,153 ",,,,
2021-03-11," 74,080 ",,,,
2021-03-12," 67,097 ",,,,
2021-03-13," 79,057 ",,,,
2021-03-14," 72,694 ",,,,
2021-03-15," 73,254 ",,,,
2021-03-16," 71,318 ",,,,
2021-03-17," 82,757 ",,,,
2021-03-18," 85,416 ",,,,
2021-03-19," 98,932 ",,,,
2021-03-20," 25,486 ",,,,
2021-03-21," 55,103 ",,,,
2021-03-22," 75,928 ",,,,
2021-03-23," 85,788 ",,,,
2021-03-24," 91,845 ",,,,
2021-03-25," 94,209 ",,,,
2021-03-26," 97,153 ",,,,
2021-03-27," 20,331 ",,,,
2021-03-28," 32,571 ",,,,
2021-03-29," 74,935 ",,,,
2021-03-30," 98,689 ",,,,
2021-03-31," 113,259 ",,,,
2021-04-01," 116,640 ",,,,
2021-04-02," 110,607 ",,,,
2021-04-03," 14,026 ",,,,
2021-04-04," 94,160 ",,,,
2021-04-05," 110,533 ",,,,
2021-04-06," 114,292 ",,,,
2021-04-07," 114,207 ",,,,
2021-04-08," 105,191 ",,,,
2021-04-09," 113,974 ",,,,
2021-04-10," 110,980 ",,,,
2021-04-11," 113,592 ",,,,
2021-04-12," 28,992 ",,,,
2021-04-13," 84,172 ",,,,
2021-04-14," 98,226 ",,,,
2021-04-15," 108,960 ",,,,
2021-04-16," 82,177 ",,,,
2021-04-17," 71,082 ",,,,
2021-04-18," 100,004 ",,,,
2021-04-19," 108,598 ",,,,
2021-04-20," 113,785 ",,,,
2021-04-21," 119,380 ",,,,
2021-04-22," 116,722 ",,,,
2021-04-23," 116,476 ",,,,
2021-04-24," 118,773 ",,,,
2021-04-25," 127,151 ",,,,
2021-04-26," 122,090 ",,,,
2021-04-27," 103,959 ",,,,
2021-04-28," 115,380 ",,,,
2021-04-29," 105,944 ",,,,
2021-04-30," 83,165 ",,,,
2021-05-01," 41,123 ",,,,
2021-05-02," 115,492 ",,,,
2021-05-03," 122,393 ",,,,
2021-05-04," 24,069 ",,,,
2021-05-05," 125,213 ",,,,
2021-05-06," 121,660 ",,,,
2021-05-07," 88,097 ",,,,
2021-05-08," 73,912 ",,,,
2021-05-09," 114,851 ",,,,
2021-05-10," 93,814 ",,,,
2021-05-11," 130,314 ",,,,
2021-05-12," 130,245 ",,,,
2021-05-13," 128,298 ",,,,
2021-05-14," 128,239 ",,,,
2021-05-15," 36,082 ",,,,
2021-05-16," 2,514 ",,,,
2021-05-17," 60,065 ",,,,
2021-05-18," 127,759 ",,,,
2021-05-19," 133,864 ",,,,
2021-05-20," 67,451 ",,,,
2021-05-21," 78,809 ",,,,
2021-05-22," 128,763 ",,,,
2021-05-23," 115,588 ",,,,
2021-05-24," 122,961 ",,,,
2021-05-25," 93,453 ",,,,
2021-05-26," 120,987 ",,,,
2021-05-27," 74,271 ",,,,
2021-05-28," 78,928 ",,,,
2021-05-29," 63,064 ",,,,
2021-05-30," 92,536 ",,,,
2021-05-31," 115,335 ",,,,
2021-06-01," 110,305 ",,,,
2021-06-02," 130,227 ",,,,
2021-06-03," 41,123 ",,,,
2021-06-04," 131,838 ",,,,
2021-06-05," 127,568 ",,,,
2021-06-06," 116,208 ",,,,
2021-06-07," 121,944 ",,,,
2021-06-08," 129,558 ",,,,
2021-06-09," 126,823 ",,,,
2021-06-10," 82,549 ",,,,
2021-06-11," 120,869 ",,,,
2021-06-12," 116,059 ",,,,
2021-06-13," 103,603 ",,,,
2021-06-14," 128,217 ",,,,
2021-06-15," 97,851 ",,,,
2021-06-16," 139,346 ",,,,
2021-06-17," 115,752 ",,,,
2021-06-18," 78,992 ",,,,
2021-06-19," 122,359 ",,,,
2021-06-20," 114,793 ",,,,
2021-06-21," 138,150 ",,,,
2021-06-22," 124,808 ",,,,
2021-06-23," 126,714 ",,,,
2021-06-24," 134,714 ",,,,
2021-06-25," 140,870 ",,,,
2021-06-26," 105,813 ",,,,
2021-06-27," 92,869 ",,,,
2021-06-28," 106,378 ",,,,
2021-06-29," 111,907 ",,,,
2021-06-30," 122,200 ",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
