"","rdate","rtime","rno","rname","rcode","sex","age","rent","exercise","co2","distance","utime"
"864","2021-06-01",0,1756,"1756.서울북부광역등기국","정기권","M","40대",1,"18.77","0.16",677.29,5
"869","2021-06-01",0,989,"989.응암 꼬꼬닭치킨호프 앞","정기권","M","40대",1,"44.36","0.31",1317.99,6
"870","2021-06-01",0,169,"169. 북가좌 삼거리","정기권","M","40대",1,"65.68","0.51",2211.52,11
"871","2021-06-01",0,522,"522. 금호역 1번출구 앞","정기권","M","40대",1,"22.38","0.17",724.64,5
"873","2021-06-01",0,4103,"4103. 휘경sk뷰아파트 앞","정기권","M","40대",1,"50.86","0.37",1605.49,9
"874","2021-06-01",0,4465,"4465. 건영아파트앞 사거리","정기권","M","40대",1,"26.89","0.24",1013.46,4
"876","2021-06-01",0,612,"612. 시립동부병원 앞 사거리","정기권","M","40대",1,"0.00","0.00",0,11
"881","2021-06-01",0,639,"639. 서울시립대 후문","정기권","M","40대",1,"30.62","0.26",1104.55,4
"883","2021-06-01",0,1010,"1010. 강동세무서","정기권","M","40대",1,"44.79","0.40",1740,10
"884","2021-06-01",0,1332,"1332. 석계역 5번출구 건너편","정기권","M","40대",1,"45.82","0.41",1780,10
"887","2021-06-01",0,1214,"1214. 오금역 7번 출구 인근","정기권","M","40대",1,"54.65","0.43",1840,7
"889","2021-06-01",0,1240,"1240. 문정 법조단지4","정기권","M","40대",1,"34.53","0.25",1090,9
"890","2021-06-01",0,1244,"1244. 문정 법조단지8","정기권","M","40대",1,"7.40","0.07",287.67,4
"894","2021-06-01",0,1955,"1955. 디지털입구 교차로","정기권","M","40대",1,"24.95","0.21",900,5
"895","2021-06-01",0,725,"725. 양강중학교앞 교차로","정기권","M","40대",1,"5.97","0.06",239.37,2
"896","2021-06-01",0,1530,"1530. 광산사거리","정기권","M","50대",1,"21.23","0.16",670,4
"898","2021-06-01",0,2274,"2274. 양재시민의숲역 3번출구","정기권","M","50대",1,"32.47","0.27",1171.53,5
"899","2021-06-01",0,3506,"3506. 영동대교 북단","정기권","M","50대",1,"36.48","0.32",1374.9,7
"901","2021-06-01",0,1663,"1663. 동해문화예술관앞","정기권","M","50대",1,"46.45","0.32",1380,9
"903","2021-06-01",0,1670,"1670. 노원경찰서교차로","정기권","M","50대",1,"41.89","0.34",1448.94,7
"904","2021-06-01",0,648,"648. 장안동위더스빌옆","정기권","M","50대",1,"18.57","0.16",700,3
"905","2021-06-01",0,2279,"2279. 교대역 5번출구뒤","정기권","M","50대",1,"33.02","0.21",906.42,4
"907","2021-06-01",0,1737,"1737. 하나은행 (창동점)","정기권","M","50대",1,"42.32","0.29",1257.36,7
"909","2021-06-01",0,452,"452. 동대문 종합시장 버스정류장","정기권","M","50대",1,"24.19","0.22",969.46,8
"911","2021-06-01",0,2615,"2615. 테라타워2","정기권","M","50대",1,"16.22","0.15",630,6
"913","2021-06-01",0,1080,"1080.엘웨딩","정기권","M","50대",1,"18.83","0.13",572.82,2
"915","2021-06-01",0,1088,"1088.풍납사거리(강동)","정기권","M","50대",1,"48.37","0.41",1770.16,10
"916","2021-06-01",0,1090,"1090.상일동역 2번출구 앞","정기권","M","50대",1,"47.88","0.45",1950,10
"918","2021-06-01",0,2739,"2739.수명산파크1단지교차로","정기권","M","50대",1,"60.70","0.55",2358.03,10
"921","2021-06-01",0,170,"170. 가재울 뉴타운 주유소 옆","정기권","M","50대",1,"19.36","0.16",679.03,5
"922","2021-06-01",0,677,"677.청량리역 4번 5번출구 사이","정기권","M","50대",1,"0.00","0.00",0,6
"923","2021-06-01",0,3579,"3579.광진 캠퍼스시티","정기권","M","50대",1,"0.00","0.00",0,8
"924","2021-06-01",0,546,"546. 잠실대교북단 교차로","정기권","M","50대",1,"27.44","0.23",990.06,5
"929","2021-06-01",0,4856,"4856. 올림픽공원 서1문 앞","정기권","M","50대",1,"28.31","0.26",1099.87,6
"930","2021-06-01",0,3615,"3615. 서울 논현동우체국 앞","정기권","M","50대",1,"0.00","0.00",0,9
"933","2021-06-01",0,235,"235. 신길동 우리은행 옆","정기권","M","50대",1,"38.02","0.32",1371.58,8
"934","2021-06-01",0,196,"196. 연희교차로 인근","정기권","M","50대",1,"4.21","0.03",141.89,3
"939","2021-06-01",0,1634,"1634. 당고개공원 대여소","정기권","M","50대",1,"30.75","0.23",970.54,8
"940","2021-06-01",0,1824,"1824. 독산근린공원 입구","정기권","M","50대",1,"14.11","0.11",494.99,5
"941","2021-06-01",0,1833,"1833. 독산역 1번출구 앞 자전거보관소","정기권","M","50대",1,"6.35","0.05",222.58,9
"942","2021-06-01",0,1520,"1520. 성실교회","정기권","M","50대",1,"0.00","0.00",0,7
"943","2021-06-01",0,1907,"1907. 구일우성(아) 육교 밑","정기권","M","50대",1,"23.65","0.21",918.64,4
"945","2021-06-01",0,2230,"2230.이수역 4번 출구","정기권","M","50대",1,"32.79","0.32",1380,11
"946","2021-06-01",0,2251,"2251. 더케이호텔 입구(양재2) ","정기권","M","50대",1,"13.50","0.11",480,3
"947","2021-06-01",0,2302,"2302. 교보타워 버스정류장(신논현역 3번출구 후면)","정기권","M","50대",1,"51.35","0.35",1525.46,10
"948","2021-06-01",0,106,"106. 합정역 7번출구 앞","정기권","M","50대",1,"33.34","0.30",1295.18,10
"953","2021-06-01",0,501,"501. 광진구의회 앞","정기권","M","50대",1,"20.90","0.19",812.02,5
"954","2021-06-01",0,1044,"1044. 굽은다리역","정기권","M","60대",1,"2.85","0.02",80,6
"955","2021-06-01",0,1958,"1958. 강서수도사업소민원센터","정기권","M","60대",1,"25.54","0.18",758.75,5
"956","2021-06-01",0,650,"650. 중랑교사거리","정기권","M","60대",1,"18.02","0.16",700,3
"959","2021-06-01",0,2909,"2909. 석계역 3번 출구","정기권","M","60대",1,"30.63","0.28",1190,11
"961","2021-06-01",0,1771,"1771.성원APT버스정류소","정기권","M","60대",1,"26.78","0.23",980,7
"962","2021-06-01",0,3010,"3010.홍대입구역 3번출구","정기권","M","60대",1,"35.43","0.28",1192.91,11
"964","2021-06-01",0,994,"994.북한산생태공원입구(교통섬)","정기권","M","60대",1,"13.09","0.13",550.97,5
"966","2021-06-01",0,3776,"3776. 김포공항교차로","정기권","M","60대",1,"0.00","0.00",0,5
"967","2021-06-01",0,245,"245. 삼성생명 당산사옥 앞","정기권","M","60대",1,"23.30","0.21",905.09,8
"968","2021-06-01",0,255,"255. 도림사거리","정기권","M","60대",1,"8.53","0.06",253.32,3
"969","2021-06-01",0,1127,"1127. 화곡역(에이스정형외과앞) 버스정류장","정기권","M","60대",1,"46.98","0.37",1603.22,9
"970","2021-06-01",0,1332,"1332. 석계역 5번출구 건너편","정기권","M","60대",1,"0.00","0.00",0,6
"973","2021-06-01",0,2212,"2212.서초현대4차아파트 201동 맞은편","정기권","M","60대",1,"27.15","0.27",1142.8,8
"976","2021-06-01",0,1169,"1169. 염창역 1번 출구","정기권","M","70대~",1,"20.02","0.17",722.39,6
"977","2021-06-01",0,625,"625. 답십리초등학교 앞(현대시장 옆)","정기권","M","70대~",1,"15.18","0.15",660.93,4
"980","2021-06-01",0,1355,"1355. 보문2교","일일권","","~10대",1,"43.12","0.28",1209.92,5
"983","2021-06-01",0,2912,"2912.대진고등학교","일일권","","~10대",1,"7.39","0.07",296.33,5
"986","2021-06-01",0,3779,"3779. 유광사여성병원","일일권","","~10대",1,"34.47","0.29",1243.59,7
"987","2021-06-01",0,3786,"3786. 강서힐스테이트 상가 앞","일일권","","~10대",1,"52.98","0.26",1114.87,4
"998","2021-06-01",0,2279,"2279. 교대역 5번출구뒤","일일권","","20대",1,"50.82","0.37",1604.09,7
"1009","2021-06-01",0,2179,"2179. 양녕로 입구","일일권","","20대",1,"33.71","0.29",1233.7,7
"1017","2021-06-01",0,462,"462. 신영동삼거리(북악터널방향)","일일권","","20대",1,"50.42","0.45",1958.67,10
"1023","2021-06-01",0,1862,"1862.스타즈호텔독산 빌딩 앞","일일권","","20대",1,"29.36","0.26",1140.7,9
"1025","2021-06-01",0,786,"786.목동아파트 8단지 상가동 앞","일일권","","20대",1,"29.64","0.20",850.53,5
"1026","2021-06-01",0,791,"791.현대하이페리온","일일권","","20대",1,"46.64","0.37",1613.27,11
"1032","2021-06-01",0,2914,"2914.서울과학기술대학교(미래관)","일일권","","20대",1,"20.16","0.21",893.35,5
"1033","2021-06-01",0,152,"152. 마포구민체육센터 앞","일일권","","20대",1,"27.44","0.23",990,6
"1034","2021-06-01",0,1748,"1748. 피자헛 앞(도봉병원 옆)","일일권","","20대",1,"11.67","0.11",475.4,2
"1036","2021-06-01",0,3010,"3010.홍대입구역 3번출구","일일권","","20대",1,"32.63","0.29",1230,8
"1038","2021-06-01",0,3124,"3124.DMC센트럴아이파크아파트","일일권","","20대",1,"29.60","0.27",1150,7
"1047","2021-06-01",0,2190,"2190.도원맨션","일일권","","20대",1,"22.40","0.20",870.37,4
"1052","2021-06-01",0,4114,"4114. 휘경여중고삼거리","일일권","","20대",1,"34.37","0.32",1400,8
"1059","2021-06-01",0,130,"130. 신촌역(2호선) 7번출구 앞","일일권","","20대",1,"46.64","0.40",1706.92,11
"1073","2021-06-01",0,911,"911. 은평평화공원(역촌역4번출구)","일일권","","20대",1,"50.98","0.44",1893.16,10
"1077","2021-06-01",0,1022,"1022. 길동 사거리(초소앞)","일일권","","20대",1,"57.02","0.46",1999.89,10
"1087","2021-06-01",0,2108,"2108. 은천치안센터","일일권","","20대",1,"0.00","0.00",0,9
"1088","2021-06-01",0,2122,"2122. 낙성대로 입구","일일권","","20대",1,"13.23","0.39",1670.99,9
"1089","2021-06-01",0,2140,"2140. 신림1교 교차로","일일권","","20대",1,"21.70","0.23",996.4,7
"1091","2021-06-01",0,2033,"2033. 사당동 아르테스 웨딩앞","일일권","","20대",1,"37.46","0.31",1351.2,9
"1097","2021-06-01",0,1630,"1630. 수연빌딩 앞","일일권","","20대",1,"23.16","0.21",899.59,11
"1098","2021-06-01",0,1941,"1941. 오류동역 2번출구","일일권","","20대",1,"40.86","0.32",1375.85,10
"1109","2021-06-01",0,2170,"2170. 조원동서울본병원","일일권","","30대",1,"30.37","0.27",1180,6
"1112","2021-06-01",0,1180,"1180. 마곡엠밸리 15단지(1502동) 건너편","일일권","","30대",1,"22.32","0.19",828.78,4
"1115","2021-06-01",0,2709,"2709.강변아파트 310동 앞","일일권","","30대",1,"30.80","0.28",1196.51,7
"1123","2021-06-01",0,1016,"1016. 해뜨는 주유소옆 리엔파크 109동앞","일일권","","30대",1,"32.91","0.30",1278.59,10
"1125","2021-06-01",0,1924,"1924. 삼부르네상스파크빌","일일권","","30대",1,"55.76","0.37",1600,11
"1141","2021-06-01",0,2086,"2086.삼일수영장 앞","일일권","","50대",1,"33.87","0.28",1204.63,9
"1143","2021-06-01",0,583,"583. 청계천 생태교실 앞","일일권","","50대",1,"0.00","0.00",0,9
"1155","2021-06-01",0,371,"371. 동대입구역 6번출구 뒤","일일권","F","20대",1,"13.29","0.16",699.31,6
"1158","2021-06-01",0,378,"378. 청계7가 사거리","일일권","F","20대",2,"35.00","0.38",1637.9,11
"1160","2021-06-01",0,152,"152. 마포구민체육센터 앞","일일권","F","20대",1,"30.03","0.29",1263.89,6
"1163","2021-06-01",0,549,"549. 아차산역 3번출구","일일권","F","20대",1,"44.35","0.40",1723.16,10
"1166","2021-06-01",0,247,"247. 당산역 10번출구 앞","일일권","F","20대",1,"4.46","0.05",208.48,5
"1170","2021-06-01",0,931,"931. 역촌파출소","일일권","F","20대",1,"17.30","0.19",840,5
"1178","2021-06-01",0,446,"446. 상명대입구","일일권","F","20대",1,"73.66","0.43",1860,11
"1189","2021-06-01",0,2116,"2116. 에이스에이존빌딩","일일권","F","30대",1,"11.40","0.11",480,3
"1192","2021-06-01",0,729,"729. 서부식자재마트 건너편","일일권","M","~10대",1,"29.34","0.30",1300,6
"1194","2021-06-01",0,1659,"1659. 중계동 을지중학교","일일권","M","~10대",1,"22.47","0.19",834.36,5
"1196","2021-06-01",0,754,"754. 목동1단지아파트 118동 앞","일일권","M","~10대",1,"20.84","0.15",634.2,5
"1200","2021-06-01",0,1192,"1192. 마곡수명산파크 209동 건너편","일일권","M","~10대",1,"18.01","0.16",678.79,5
"1203","2021-06-01",0,2905,"2905.중계주공6단지","일일권","M","~10대",1,"27.90","0.18",782.8,6
"1206","2021-06-01",0,4002,"4002. 상계주공 14단지 상가 앞","일일권","M","~10대",1,"30.27","0.23",980.05,6
"1207","2021-06-01",0,4514,"4514. 목동성당 앞","일일권","M","~10대",1,"14.41","0.13",560,10
"1210","2021-06-01",0,252,"252. 보라매역4번출구","일일권","M","~10대",1,"15.01","0.14",583.22,6
"1212","2021-06-01",0,946,"946. 독바위역 ","일일권","M","20대",1,"27.83","0.22",949.84,5
"1217","2021-06-01",0,1448,"1448. 코스트코 상봉점","일일권","M","20대",1,"29.95","0.30",1281.74,11
"1219","2021-06-01",0,1983,"1983. 구로동롯데아파트","일일권","M","20대",1,"46.14","0.44",1910,11
"1222","2021-06-01",0,274,"274. 영등포역지하쇼핑센타 5번출구","일일권","M","20대",1,"70.10","0.38",1639.18,8
"1227","2021-06-01",0,280,"280. 양평동6차현대아파트 앞","일일권","M","20대",1,"14.95","0.13",580.72,5
"1228","2021-06-01",0,2505,"2505. 우성아파트사거리 (기업은행앞)","일일권","M","20대",1,"20.53","0.19",810,4
"1234","2021-06-01",0,2184,"2184. 구암초등학교 버스정류장","일일권","M","20대",1,"52.97","0.41",1759.91,11
"1241","2021-06-01",0,371,"371. 동대입구역 6번출구 뒤","일일권","M","20대",1,"20.33","0.17",713.18,8
"1244","2021-06-01",0,2915,"2915.서울과학기술대학교(어학교육원)","일일권","M","20대",1,"0.00","0.00",0,6
"1246","2021-06-01",0,498,"498.연남동주민센터 앞","일일권","M","20대",1,"36.93","0.35",1528.99,9
"1253","2021-06-01",0,996,"996.응암역 1번출구","일일권","M","20대",1,"41.70","0.38",1620,10
"1267","2021-06-01",0,4483,"4483. 잠실나들목4","일일권","M","20대",1,"0.01","0.00",0.29,1
"1274","2021-06-01",0,701,"701. 목동사거리 부근","일일권","M","20대",1,"32.39","0.23",973.87,7
"1275","2021-06-01",0,702,"702. 목4동주민센터 옆","일일권","M","20대",1,"30.84","0.29",1236.32,8
"1280","2021-06-01",0,266,"266. 영등포청과시장 사거리","일일권","M","20대",1,"17.29","0.15",651.56,3
"1281","2021-06-01",0,584,"584. 광진광장 교통섬","일일권","M","20대",1,"31.80","0.27",1147.09,5
"1285","2021-06-01",0,103,"103. 망원역 2번출구 앞","일일권","M","20대",1,"53.64","0.46",1991.8,11
"1289","2021-06-01",0,1525,"1525. 미아동 복합청사","일일권","M","20대",1,"31.81","0.25",1071.06,8
"1291","2021-06-01",0,2020,"2020. 장승배기역2번출구뒷편쪽","일일권","M","20대",1,"35.93","0.31",1334.27,7
"1292","2021-06-01",0,2105,"2105. 미성동 신림체육센터","일일권","M","20대",1,"39.25","0.31",1357.75,10
"1298","2021-06-01",0,1914,"1914. 대림역4번출구","일일권","M","20대",1,"0.00","0.00",0,7
"1304","2021-06-01",0,2294,"2294. 두상빌딩 앞","일일권","M","30대",1,"24.38","0.19",810,4
"1305","2021-06-01",0,1049,"1049. 강일리버파크 10단지","일일권","M","30대",1,"38.97","0.29",1230,7
"1308","2021-06-01",0,2620,"2620. 송파나루역 4번 출구옆","일일권","M","30대",1,"38.72","0.29",1270,8
"1311","2021-06-01",0,670,"670.삼육서울병원 버스정류장","일일권","M","30대",1,"35.85","0.29",1240,11
"1319","2021-06-01",0,1320,"1320. LG베스트샵 종암점","일일권","M","30대",1,"50.45","0.45",1960,10
"1323","2021-06-01",0,3505,"3505. 신양초교앞 교차로","일일권","M","30대",1,"26.09","0.25",1080,7
"1332","2021-06-01",0,826,"826. 서울역 서부교차로2","일일권","M","40대",1,"42.52","0.34",1471.02,6
"1333","2021-06-01",0,1264,"1264. 천호역 10번 출구 앞","일일권","M","50대",1,"36.57","0.43",1847.2,7
"1344","2021-06-01",0,2111,"2111. 서울대입구역 1번출구","단체권","","20대",1,"13.07","0.10",440,4
"1350","2021-06-01",0,582,"582. 경일중학교 앞","일일권","","~10대",1,"20.84","0.20",877.15,7
"1391","2021-06-01",0,1090,"1090.상일동역 2번출구 앞","정기권","","~10대",1,"40.19","0.34",1450,8
"1396","2021-06-01",0,3102,"3102. 연희삼거리","정기권","","20대",1,"56.55","0.57",2462.2,10
"1398","2021-06-01",0,1965,"1965. 삼환로즈빌아파트 105동 옆","정기권","","20대",1,"52.65","0.43",1872.75,10
"1399","2021-06-01",0,1973,"1973. 오리로와 서해안도로 교차로 앞","정기권","","20대",1,"31.93","0.29",1240.5,10
"1400","2021-06-01",0,1984,"1984. 구로구청","정기권","","20대",1,"16.91","0.14",610,5
"1401","2021-06-01",0,1668,"1668. 중계역 6번출구","정기권","","20대",1,"21.72","0.18",783.54,8
"1403","2021-06-01",0,1451,"1451. 중랑세무서","정기권","","20대",1,"29.70","0.27",1153.71,9
"1404","2021-06-01",0,1455,"1455. 상봉역 2번 출구","정기권","","20대",1,"22.95","0.21",919.95,3
"1405","2021-06-01",0,1681,"1681. 현대6차 아파트","정기권","","20대",1,"35.56","0.32",1381.47,7
"1411","2021-06-01",0,788,"788.양천구청역 2번출구 옆","정기권","","20대",1,"0.00","0.00",0,3
"1413","2021-06-01",0,2917,"2917.신창중학교 후문 맞은편 버스정류장","정기권","","20대",1,"38.78","0.35",1530,10
"1418","2021-06-01",0,162,"162. 봉원고가차도 밑","정기권","","20대",1,"37.98","0.32",1370,5
"1419","2021-06-01",0,668,"668.서울축산농협(장안지점)","정기권","","20대",1,"44.37","0.31",1350,6
"1420","2021-06-01",0,3560,"3560.성동구 견인차량 보관소 앞","정기권","","20대",1,"19.31","0.17",750,5
"1421","2021-06-01",0,2095,"2095.경문고등학교 앞","정기권","","20대",1,"24.88","0.24",1047.23,7
"1423","2021-06-01",0,4619,"4619. 한강트럼프월드3차 앞","정기권","","20대",1,"24.35","0.22",946.16,5
"1428","2021-06-01",0,4813,"4813. 망우로 버거킹 앞","정기권","","20대",1,"8.22","0.09",384.55,3
"1429","2021-06-01",0,4303,"4303. 매헌역 2번출구앞광역버스 정류장앞(22-297)","정기권","","20대",1,"9.78","0.09",380,3
"1431","2021-06-01",0,4026,"4026. 상계주공1단지아파트","정기권","","20대",1,"53.51","0.56",2413,11
"1435","2021-06-01",0,569,"569. 응봉현대아파트 정류소","정기권","","20대",1,"24.32","0.13",548.27,3
"1438","2021-06-01",0,263,"263. 근로자회관 사거리","정기권","","20대",1,"45.27","0.38",1656.68,8
"1441","2021-06-01",0,588,"588. 뚝섬 유원지역","정기권","","20대",1,"35.88","0.35",1510,10
"1442","2021-06-01",0,1011,"1011. LIGA 아파트 앞","정기권","","20대",1,"9.12","0.11",480,9
"1443","2021-06-01",0,1019,"1019. 다성이즈빌아파트(호원대 대각선 맞은편)","정기권","","20대",1,"41.09","0.34",1461.53,7
"1446","2021-06-01",0,1408,"1408. 먹골역 6번출구 앞","정기권","","20대",1,"60.94","0.49",2108.22,11
"1447","2021-06-01",0,1611,"1611. 과기대 입구(우)","정기권","","20대",1,"11.34","0.13",572.78,4
"1451","2021-06-01",0,2015,"2015. 신대방삼거리역 6번출구쪽","정기권","","20대",1,"37.14","0.31",1340,7
"1453","2021-06-01",0,2220,"2220. 반포본동 주민센터 앞","정기권","","20대",1,"29.92","0.25",1079.2,9
"1457","2021-06-01",0,2252,"2252. 하이브랜드 앞","정기권","","20대",1,"70.05","0.32",1360.78,6
"1458","2021-06-01",0,417,"417. DMC역 2번출구 옆","정기권","","20대",1,"0.00","0.00",0,7
"1460","2021-06-01",0,3501,"3501. 광진구청 앞","정기권","","20대",1,"11.81","0.10",438.56,4
"1463","2021-06-01",0,1028,"1028. 포레스 주상복합 빌딩","정기권","","30대",1,"28.59","0.24",1046.52,5
"1464","2021-06-01",0,1268,"1268. 몽촌토성역 1번출구 옆","정기권","","30대",1,"51.96","0.34",1457.85,8
"1465","2021-06-01",0,3514,"3514. 왕십리교회옆","정기권","","30대",1,"34.53","0.25",1090,6
"1467","2021-06-01",0,1985,"1985. 구로도서관","정기권","","30대",1,"0.00","0.00",0,3
"1469","2021-06-01",0,1173,"1173. 강서구청사거리(SH타워)","정기권","","30대",1,"7.30","0.07",283.79,1
"1474","2021-06-01",0,2525,"2525.반포쇼핑타운 2동 앞","정기권","","30대",1,"40.75","0.32",1390.54,6
"1478","2021-06-01",0,3570,"3570.구의역 리버비스타 오피스텔","정기권","","30대",1,"20.67","0.13",580,4
"1479","2021-06-01",0,2089,"2089.사당역10번출구(금강빌딩)","정기권","","30대",1,"17.70","0.15",667.17,4
"1480","2021-06-01",0,2095,"2095.경문고등학교 앞","정기권","","30대",2,"27.98","0.24",1054.78,5
"1482","2021-06-01",0,4611,"4611. 국제루터교회 앞","정기권","","30대",1,"58.89","0.41",1749.47,8
"1485","2021-06-01",0,255,"255. 도림사거리","정기권","","30대",1,"32.08","0.31",1350.27,6
"1487","2021-06-01",0,1637,"1637. KT 노원점 건물 앞","정기권","","30대",1,"52.83","0.34",1450,8
"1488","2021-06-01",0,1709,"1709. 쌍문역4번출구 주변","정기권","","30대",1,"30.67","0.26",1138.85,5
"1489","2021-06-01",0,2107,"2107. 도림천 신화교","정기권","","30대",1,"16.46","0.17",716.77,5
"1490","2021-06-01",0,2220,"2220. 반포본동 주민센터 앞","정기권","","30대",1,"24.33","0.17",740.13,4
"1491","2021-06-01",0,1117,"1117. 스타벅스앞","정기권","","30대",1,"43.49","0.42",1830.45,11
"1492","2021-06-01",0,1416,"1416. 상봉역 3번출구","정기권","","30대",1,"35.49","0.24",1030,5
"1495","2021-06-01",0,735,"735. 영도초등학교","정기권","","40대",1,"37.38","0.27",1180,5
"1502","2021-06-01",0,2190,"2190.도원맨션","정기권","","40대",1,"27.54","0.20",858.47,5
"1509","2021-06-01",0,900,"900. 은평예술회관","정기권","","40대",1,"34.84","0.34",1466.48,8
"1514","2021-06-01",0,2127,"2127. 보성운수차고지 맞은편","정기권","","40대",1,"51.78","0.45",1922.99,10
"1515","2021-06-01",0,1416,"1416. 상봉역 3번출구","정기권","","40대",1,"22.91","0.18",781.68,4
"1517","2021-06-01",0,1442,"1442. (구)신한은행 중랑교지점","정기권","","50대",1,"21.88","0.16",708.44,3
"1521","2021-06-01",0,1357,"1357. 북한산보국문역","정기권","","50대",1,"60.49","0.47",2010,9
"1524","2021-06-01",0,4353,"4353. 코오롱디지털타워 3차앞","정기권","","50대",1,"16.47","0.15",640,4
"1525","2021-06-01",0,4654,"4654. OK부동산 앞","정기권","","50대",1,"12.81","0.10",425.65,5
"1526","2021-06-01",0,4112,"4112. 신이문빗물펌프장 옆","정기권","","50대",1,"31.61","0.26",1140.44,8
"1527","2021-06-01",0,549,"549. 아차산역 3번출구","정기권","","50대",1,"0.00","0.00",0,6
"1530","2021-06-01",0,574,"574. 아차산역4번출구","정기권","","50대",1,"3.60","0.03",141.9,1
"1540","2021-06-01",0,2921,"2921.중계역 2번출구","정기권","","60대",1,"35.24","0.27",1155.72,6
"1541","2021-06-01",0,1743,"1743.창동19단지아파트 관리사무소앞","정기권","","60대",1,"10.82","0.08",364.42,3
"1545","2021-06-01",0,3105,"3105. 홍은센트레빌 아파트 앞","정기권","F","~10대",1,"5.06","0.07",283.73,3
"1546","2021-06-01",0,1974,"1974. 신도림2차e편한세상아파트 203동 앞","정기권","F","20대",1,"23.52","0.23",990,6
