"","rdate","rtime","rno","rname","rcode","sex","age","rent","exercise","co2","distance","utime"
"1548","2021-06-01",0,2177,"2177. 신대방역 2번 출구","정기권","F","20대",1,"17.82","0.21",900,5
"1549","2021-06-01",0,1373,"1373. 성북구보건소 건너편","정기권","F","20대",1,"8.61","0.11",472.63,2
"1551","2021-06-01",0,2521,"2521.서초 크로바타워 앞","정기권","F","20대",1,"26.63","0.27",1180,8
"1556","2021-06-01",0,3560,"3560.성동구 견인차량 보관소 앞","정기권","F","20대",1,"0.00","0.00",0,5
"1558","2021-06-01",0,4004,"4004. 당고개입구오거리 당현천변","정기권","F","20대",1,"13.94","0.14",586.6,4
"1560","2021-06-01",0,1112,"1112. 마곡엠밸리4단지 정문","정기권","F","20대",1,"33.91","0.31",1317.53,9
"1563","2021-06-01",0,2102,"2102. 봉림교 교통섬","정기권","F","20대",1,"32.94","0.37",1599.89,11
"1564","2021-06-01",0,1214,"1214. 오금역 7번 출구 인근","정기권","F","20대",1,"17.06","0.17",730,4
"1565","2021-06-01",0,590,"590. 건국대학교 (입학정보관)","정기권","F","20대",1,"16.76","0.18",769.63,5
"1573","2021-06-01",0,2116,"2116. 에이스에이존빌딩","정기권","F","30대",1,"10.30","0.09",400,3
"1574","2021-06-01",0,2239,"2239.교대역 6번출구","정기권","F","30대",1,"16.51","0.21",906.42,7
"1577","2021-06-01",0,1012,"1012. 서울 상운차량","정기권","F","40대",1,"0.00","0.00",0,5
"1579","2021-06-01",0,2614,"2614. 가락고등학교 앞","정기권","F","50대",1,"10.21","0.11",460.31,4
"1584","2021-06-01",0,731,"731. 서울시 도로환경관리센터","정기권","M","~10대",1,"52.24","0.32",1360,7
"1587","2021-06-01",0,2617,"2617. 가락삼환아파트 앞","정기권","M","~10대",1,"58.84","0.43",1857.45,11
"1589","2021-06-01",0,1928,"1928. 고척스카이돔구장 광장","정기권","M","~10대",1,"13.59","0.12",520,2
"1590","2021-06-01",0,1125,"1125. 명덕고교입구(영종빌딩)","정기권","M","~10대",1,"26.98","0.21",884.93,7
"1591","2021-06-01",0,1526,"1526. 수유동 채선당앞","정기권","M","20대",1,"41.45","0.20",851.02,4
"1592","2021-06-01",0,1529,"1529. 미아동 한국전력공사","정기권","M","20대",1,"22.96","0.13",562.91,7
"1593","2021-06-01",0,3102,"3102. 연희삼거리","정기권","M","20대",1,"8.43","0.08",327.36,2
"1599","2021-06-01",0,958,"958. 신한은행 응암동 지점 앞","정기권","M","20대",1,"11.59","0.07",318.06,5
"1601","2021-06-01",0,1372,"1372. KEB은행 고대점","정기권","M","20대",1,"0.00","0.00",0,6
"1612","2021-06-01",0,3778,"3778. 김포공항입구 교차로","정기권","M","20대",1,"45.75","0.36",1540.24,7
"1613","2021-06-01",0,540,"540. 군자역 7번출구 베스트샵 앞","정기권","M","20대",1,"30.17","0.27",1172.18,8
"1615","2021-06-01",0,4008,"4008. 하계 어린이 공원","정기권","M","20대",1,"33.45","0.32",1362.55,8
"1617","2021-06-01",0,4408,"4408. 돌곶이역 앞","정기권","M","20대",1,"36.88","0.28",1194.09,9
"1622","2021-06-01",0,635,"635. 시조사 앞 (청량고정문 옆)","정기권","M","20대",1,"85.77","0.61",2641.38,11
"1625","2021-06-01",0,720,"720. 서울강월초등학교 앞","정기권","M","20대",1,"22.57","0.13",570,2
"1628","2021-06-01",0,1010,"1010. 강동세무서","정기권","M","20대",1,"37.43","0.32",1390,8
"1629","2021-06-01",0,1022,"1022. 길동 사거리(초소앞)","정기권","M","20대",1,"11.58","0.09",390,11
"1635","2021-06-01",0,2102,"2102. 봉림교 교통섬","정기권","M","20대",1,"0.00","0.00",0,5
"1637","2021-06-01",0,2112,"2112. 서울대입구역 마에스트로","정기권","M","20대",1,"18.28","0.16",710,3
"1638","2021-06-01",0,2033,"2033. 사당동 아르테스 웨딩앞","정기권","M","20대",1,"25.76","0.23",1000.75,11
"1639","2021-06-01",0,1018,"1018. 둔촌 주공 GS 맞은편","정기권","M","20대",1,"20.69","0.20",842.79,5
"1640","2021-06-01",0,1115,"1115. 등촌역 1번출구옆","정기권","M","20대",1,"9.06","0.06",260,2
"1641","2021-06-01",0,1416,"1416. 상봉역 3번출구","정기권","M","20대",1,"50.05","0.37",1579.79,8
"1642","2021-06-01",0,502,"502. 뚝섬유원지역 1번출구 앞","정기권","M","20대",1,"27.62","0.22",930,6
"1643","2021-06-01",0,511,"511. 서울숲역 4번 출구 옆","정기권","M","30대",1,"49.86","0.39",1678.71,11
"1651","2021-06-01",0,1537,"1537. 북한산 우이역","정기권","M","30대",1,"57.92","0.45",1950,8
"1653","2021-06-01",0,839,"839. 보광동 삼성리버빌아파트 앞","정기권","M","30대",1,"0.00","0.00",0,4
"1657","2021-06-01",0,2177,"2177. 신대방역 2번 출구","정기권","M","30대",1,"31.30","0.22",930,5
"1660","2021-06-01",0,3417,"3417.창신3동주민센터","정기권","M","30대",1,"32.22","0.26",1130.04,7
"1661","2021-06-01",0,2521,"2521.서초 크로바타워 앞","정기권","M","30대",1,"35.65","0.28",1200.42,9
"1662","2021-06-01",0,1867,"1867.대륭포스트타워6차 앞","정기권","M","30대",1,"26.86","0.22",969.03,5
"1668","2021-06-01",0,170,"170. 가재울 뉴타운 주유소 옆","정기권","M","30대",1,"12.64","0.09",375.59,4
"1671","2021-06-01",0,795,"795.양천 해누리타운","정기권","M","30대",1,"0.00","0.00",0,3
"1673","2021-06-01",0,3714,"3714. 송천센트레빌","정기권","M","30대",1,"0.00","0.00",0,4
"1674","2021-06-01",0,3778,"3778. 김포공항입구 교차로","정기권","M","30대",1,"0.00","0.00",0,1
"1675","2021-06-01",0,4123,"4123. 배봉초교 교차로","정기권","M","30대",1,"38.12","0.26",1132.4,7
"1679","2021-06-01",0,583,"583. 청계천 생태교실 앞","정기권","M","30대",1,"46.63","0.36",1570,8
"1680","2021-06-01",0,577,"577. 광진청소년수련관","정기권","M","30대",1,"29.22","0.19",820,5
"1681","2021-06-01",0,1105,"1105. 방화근린공원","정기권","M","30대",1,"0.00","0.00",0,6
"1683","2021-06-01",0,1308,"1308. 안암로터리 버스정류장 앞","정기권","M","30대",1,"73.46","0.39",1701.81,10
"1685","2021-06-01",0,1210,"1210. 롯데월드타워(잠실역2번출구 쪽)","정기권","M","30대",1,"8.03","0.06",260,3
"1694","2021-06-01",0,361,"361. 동묘앞역 1번출구 뒤","정기권","M","40대",1,"0.00","0.00",0,4
"1696","2021-06-01",0,2808,"2808.항동지구 2단지 202동 앞","정기권","M","40대",1,"11.80","0.08",350.45,2
"1699","2021-06-01",0,2905,"2905.중계주공6단지","정기권","M","40대",1,"7.18","0.04",176.08,2
"1701","2021-06-01",0,853,"853.용산역 맞은편","정기권","M","40대",1,"22.74","0.17",726.75,3
"1702","2021-06-01",0,867,"867.서빙고역 광장(1번출구)","정기권","M","40대",1,"54.35","0.42",1830,8
"1705","2021-06-01",0,2081,"2081.대방1차 e편한세상 앞","정기권","M","40대",1,"20.20","0.20",850,6
"1707","2021-06-01",0,539,"539. 군자교교차로","정기권","M","40대",1,"32.73","0.20",879.19,6
"1715","2021-06-01",0,633,"633. 청량리 기업은행 앞","정기권","M","40대",1,"52.57","0.39",1659.49,9
"1716","2021-06-01",0,634,"634. 외국어대 정문 앞","정기권","M","40대",1,"24.28","0.22",943.18,11
"1721","2021-06-01",0,1029,"1029. 롯데 시네마","정기권","M","50대",1,"40.43","0.29",1230,8
"1722","2021-06-01",0,1535,"1535. 효성인텔리안 앞","정기권","M","50대",1,"0.00","0.00",0,7
"1723","2021-06-01",0,2173,"2173. 당곡사거리","정기권","M","50대",1,"24.78","0.19",834.3,6
"1724","2021-06-01",0,1451,"1451. 중랑세무서","정기권","M","50대",1,"0.00","0.00",0,3
"1727","2021-06-01",0,287,"287. 영등포전화국사거리 (서강어린이공원)","정기권","M","50대",1,"8.17","0.06",264.56,1
"1728","2021-06-01",0,2631,"2631.배명고등학교","정기권","M","50대",1,"30.37","0.25",1080,7
"1729","2021-06-01",0,1774,"1774.반석교회(쌍문동)","정기권","M","50대",1,"3.66","0.03",142.09,2
"1734","2021-06-01",0,4110,"4110. 용두롯데캐슬리치아파트 앞","정기권","M","50대",1,"17.61","0.16",683.99,5
"1735","2021-06-01",0,542,"542. 강변역 4번출구 뒤","정기권","M","50대",1,"30.97","0.27",1150,7
"1736","2021-06-01",0,546,"546. 잠실대교북단 교차로","정기권","M","50대",1,"37.76","0.29",1254.59,11
"1737","2021-06-01",0,4013,"4013. 중계 롯데마트","정기권","M","50대",1,"15.73","0.15",661.92,4
"1738","2021-06-01",0,565,"565. 옥수역 3번출구","정기권","M","50대",1,"30.31","0.27",1177.68,5
"1744","2021-06-01",0,3505,"3505. 신양초교앞 교차로","정기권","M","50대",1,"0.00","0.00",0,8
"1747","2021-06-01",0,3518,"3518. 군자역 7번출구뒤","정기권","M","60대",1,"48.41","0.38",1630,10
"1748","2021-06-01",0,281,"281. 신동아아파트 앞","정기권","M","60대",1,"33.20","0.30",1290,9
"1751","2021-06-01",0,2739,"2739.수명산파크1단지교차로","정기권","M","60대",1,"37.15","0.28",1218.21,7
"1752","2021-06-01",0,540,"540. 군자역 7번출구 베스트샵 앞","정기권","M","60대",1,"39.27","0.34",1480,9
"1753","2021-06-01",0,3504,"3504. 원일교회","정기권","M","60대",1,"32.95","0.26",1109.48,8
"1756","2021-06-01",1,1167,"1167. 마곡수명산파크3단지 교차로","정기권","","~10대",1,"43.87","0.43",1846.25,11
"1757","2021-06-01",1,1286,"1286. 위례중앙푸르지오 1단지 앞","정기권","","~10대",1,"7.69","0.08",352.98,4
"1758","2021-06-01",1,763,"763. 목동11단지 아파트","정기권","","~10대",1,"43.59","0.40",1720,11
"1759","2021-06-01",1,1182,"1182. KBS 스포츠월드","정기권","","~10대",1,"36.78","0.30",1290,6
"1760","2021-06-01",1,2179,"2179. 양녕로 입구","정기권","","~10대",1,"0.00","0.00",0,3
"1761","2021-06-01",1,1199,"1199. 우장산역 3번출구","정기권","","~10대",1,"36.76","0.29",1237.77,7
"1762","2021-06-01",1,771,"771.목동아파트 703동 앞","정기권","","~10대",1,"11.58","0.11",464.03,3
"1764","2021-06-01",1,2919,"2919.등나무 근린공원(시립북서울미술관 앞) ","정기권","","~10대",1,"14.49","0.14",590,3
"1766","2021-06-01",1,3569,"3569.건대병원후문","정기권","","~10대",1,"39.61","0.37",1587.89,9
"1768","2021-06-01",1,3764,"3764. 관문주유소(GS칼택스) 앞","정기권","","~10대",1,"21.67","0.18",760,3
"1771","2021-06-01",1,4317,"4317. 양재근린공원","정기권","","~10대",1,"45.10","0.46",1963.72,11
"1774","2021-06-01",1,1708,"1708. 보건소사거리(다비치안경창동점)","정기권","","~10대",1,"14.89","0.15",648.39,8
"1775","2021-06-01",1,1207,"1207. 마천CU우방점 앞","정기권","","~10대",1,"19.86","0.18",760,3
"1776","2021-06-01",1,2255,"2255.시민의숲역 1번출구 옆","정기권","","~10대",1,"8.02","0.11",460,5
"1777","2021-06-01",1,1117,"1117. 스타벅스앞","정기권","","~10대",1,"5.42","0.06",240,1
"1779","2021-06-01",1,737,"737. 장수공원","정기권","","20대",1,"0.00","0.00",0,1
"1782","2021-06-01",1,1029,"1029. 롯데 시네마","정기권","","20대",2,"24.64","0.20",848.72,7
"1783","2021-06-01",1,1153,"1153. 발산역 1번, 9번 인근 대여소","정기권","","20대",1,"16.77","0.18",770,5
"1786","2021-06-01",1,1442,"1442. (구)신한은행 중랑교지점","정기권","","20대",1,"0.00","0.00",0,5
"1787","2021-06-01",1,1446,"1446. 중랑전화국 교차로","정기권","","20대",1,"14.54","0.13",540,8
"1789","2021-06-01",1,513,"513. 뚝섬역 5번 출구 정류소 옆","정기권","","20대",1,"0.00","0.00",0,9
"1792","2021-06-01",1,1846,"1846. 롯데캐슬골드파크1차 동문","정기권","","20대",1,"14.93","0.13",554.42,4
"1793","2021-06-01",1,2373,"2373. 개포동역 사거리","정기권","","20대",1,"13.80","0.10",410,1
"1794","2021-06-01",1,1962,"1962. 가리봉동주민센터","정기권","","20대",1,"27.30","0.23",984.97,5
"1795","2021-06-01",1,2167,"2167. 낙성대역 1번출구","정기권","","20대",1,"33.86","0.30",1295.43,8
"1796","2021-06-01",1,3518,"3518. 군자역 7번출구뒤","정기권","","20대",1,"29.42","0.27",1142.87,10
"1797","2021-06-01",1,1726,"1726. 삼익세라믹아파트교차로","정기권","","20대",1,"27.93","0.19",839.63,4
"1798","2021-06-01",1,828,"828. 숙대입구역 8번","정기권","","20대",1,"1.89","0.02",88.17,3
"1801","2021-06-01",1,1737,"1737. 하나은행 (창동점)","정기권","","20대",1,"18.95","0.15",655.41,3
"1805","2021-06-01",1,342,"342. 대학로 마로니에공원","정기권","","20대",1,"0.44","0.05",222.39,2
"1807","2021-06-01",1,452,"452. 동대문 종합시장 버스정류장","정기권","","20대",1,"12.83","0.16",674.8,5
"1808","2021-06-01",1,454,"454. 종로2가 버스정류장 (종각방향)","정기권","","20대",1,"11.34","0.13",540.37,8
"1809","2021-06-01",1,456,"456. 숭인2동 주민센터 입구 (이강3대냉면)","정기권","","20대",1,"41.12","0.32",1366.41,8
"1810","2021-06-01",1,1545,"1545. 솔샘역 2번 출구","정기권","","20대",1,"54.27","0.35",1522.83,6
"1811","2021-06-01",1,461,"461. 서울지방경찰청","정기권","","20대",1,"44.53","0.40",1730,10
"1812","2021-06-01",1,661,"661. 경희대학교 청운관","정기권","","20대",1,"37.80","0.32",1383.26,6
"1813","2021-06-01",1,1059,"1059. 래미안 강동팰리스(102동)","정기권","","20대",1,"42.63","0.36",1560,6
"1814","2021-06-01",1,657,"657. 동대문롯데캐슬아파트 앞","정기권","","20대",1,"20.59","0.23",1000,7
"1818","2021-06-01",1,3422,"3422.성균관대 정문","정기권","","20대",1,"28.59","0.25",1061.83,11
"1819","2021-06-01",1,1070,"1070.(시립)고덕평생학습관","정기권","","20대",1,"18.58","0.16",690,4
"1820","2021-06-01",1,2528,"2528.함지박 사거리","정기권","","20대",1,"21.88","0.20",850,5
"1821","2021-06-01",1,381,"381. 장충체육관","정기권","","20대",1,"21.68","0.28",1190,8
"1822","2021-06-01",1,771,"771.목동아파트 703동 앞","정기권","","20대",1,"13.18","0.15",640.28,5
"1824","2021-06-01",1,2711,"2711.가로공원공영주차장 1번 출구","정기권","","20대",1,"32.69","0.29",1270,7
"1826","2021-06-01",1,864,"864.순천향대학병원(한남오거리)","정기권","","20대",1,"59.23","0.50",2136.63,10
"1827","2021-06-01",1,3122,"3122.북가좌삼거리2","정기권","","20대",1,"58.74","0.46",1977.73,10
"1829","2021-06-01",1,170,"170. 가재울 뉴타운 주유소 옆","정기권","","20대",1,"24.88","0.22",966.4,8
"1830","2021-06-01",1,670,"670.삼육서울병원 버스정류장","정기권","","20대",1,"36.83","0.31",1328.74,10
"1833","2021-06-01",1,3570,"3570.구의역 리버비스타 오피스텔","정기권","","20대",1,"27.75","0.22",960,9
"1834","2021-06-01",1,3579,"3579.광진 캠퍼스시티","정기권","","20대",1,"33.25","0.30",1312.11,5
"1835","2021-06-01",1,794,"794.양천문화회관","정기권","","20대",1,"26.62","0.28",1200.34,9
"1840","2021-06-01",1,4453,"4453. 위례중앙푸르지오 201동 앞","정기권","","20대",1,"49.52","0.45",1923.98,10
"1841","2021-06-01",1,4852,"4852. 서울복합물류 게이트 1","정기권","","20대",1,"65.64","0.52",2240,10
"1842","2021-06-01",1,3803,"3803. 세븐일레븐 신림점","정기권","","20대",1,"0.00","0.00",0,5
"1846","2021-06-01",1,4025,"4025. 한천교 동편","정기권","","20대",1,"13.89","0.11",461.58,9
"1848","2021-06-01",1,4665,"4665. 김영혜손뜨개 앞","정기권","","20대",1,"0.00","0.00",0,0
"1850","2021-06-01",1,247,"247. 당산역 10번출구 앞","정기권","","20대",1,"32.13","0.28",1193.28,5
"1851","2021-06-01",1,711,"711. 신일해피트리아파트 앞","정기권","","20대",1,"0.00","0.00",0,3
"1854","2021-06-01",1,558,"558. 성동광진 교육지원청 앞","정기권","","20대",1,"28.57","0.27",1145.01,6
"1857","2021-06-01",1,634,"634. 외국어대 정문 앞","정기권","","20대",1,"0.00","0.00",0,6
"1858","2021-06-01",1,230,"230. 영등포구청역 1번출구","정기권","","20대",1,"17.14","0.15",636.59,7
"1859","2021-06-01",1,719,"719. 홍익병원앞 교차로","정기권","","20대",1,"0.00","0.00",0,5
"1864","2021-06-01",1,1109,"1109. 공항시장역 4번출구","정기권","","20대",1,"0.00","0.00",0,6
"1869","2021-06-01",1,1413,"1413. 봉화산역 5번출구 뒤","정기권","","20대",1,"32.94","0.33",1410,6
"1874","2021-06-01",1,225,"225. 앙카라공원 앞","정기권","","20대",1,"63.57","0.43",1866.5,10
"1879","2021-06-01",1,2342,"2342. 대청역 1번출구  뒤","정기권","","20대",1,"23.02","0.24",1020,8
"1881","2021-06-01",1,1407,"1407. 먹골역 1번출구 뒤","정기권","","20대",1,"9.25","0.08",333.59,11
"1882","2021-06-01",1,1416,"1416. 상봉역 3번출구","정기권","","20대",1,"31.07","0.30",1307.48,8
"1883","2021-06-01",1,1431,"1431. 중랑구청 사거리","정기권","","20대",1,"44.39","0.44",1900,8
"1887","2021-06-01",1,1218,"1218. 방이역 4번출구","정기권","","20대",1,"27.87","0.24",1020,10
"1888","2021-06-01",1,1328,"1328. 월곡역 3번출구","정기권","","20대",1,"14.94","0.13",580.46,5
"1889","2021-06-01",1,1501,"1501. 미아역 3번,4번 출구 사이","정기권","","20대",1,"0.00","0.00",0,5
"1897","2021-06-01",1,1288,"1288. 문정중교 사거리","정기권","","30대",1,"34.10","0.27",1148.26,5
"1898","2021-06-01",1,329,"329. 청계2가 사거리 옆","정기권","","30대",1,"0.00","0.00",0,5
"1901","2021-06-01",1,336,"336. 티마크 호텔 앞","정기권","","30대",1,"0.00","0.00",0,9
"1904","2021-06-01",1,1693,"1693. 원자력 병원","정기권","","30대",1,"18.94","0.21",920,3
"1906","2021-06-01",1,2641,"2641.송파역 4번출구","정기권","","30대",1,"14.61","0.12",505.31,4
"1907","2021-06-01",1,1072,"1072.고덕역 5번출구","정기권","","30대",1,"36.08","0.29",1231.31,5
"1908","2021-06-01",1,2540,"2540.반포천 앞","정기권","","30대",1,"22.75","0.15",638.31,8
"1910","2021-06-01",1,1751,"1751. 창원초등학교 교차로","정기권","","30대",1,"17.78","0.16",670.05,6
"1912","2021-06-01",1,2195,"2195.은천교회","정기권","","30대",1,"10.98","0.09",385.18,2
"1916","2021-06-01",1,3966,"3966. 독산역1번출구 옆","정기권","","30대",1,"22.28","0.17",750,3
"1919","2021-06-01",1,561,"561. 서울숲역 2번출구 앞","정기권","","30대",1,"5.05","0.04",170,4
"1920","2021-06-01",1,263,"263. 근로자회관 사거리","정기권","","30대",1,"35.43","0.29",1260,8
"1922","2021-06-01",1,585,"585. 성수2가1동 공영주차장 인근","정기권","","30대",1,"20.61","0.16",693.97,5
"1923","2021-06-01",1,1131,"1131. 꿈돌이공원 앞","정기권","","30대",1,"49.29","0.36",1555.96,11
"1925","2021-06-01",1,1410,"1410. 면목 대원칸타빌아파트","정기권","","30대",1,"23.53","0.19",813.96,5
"1928","2021-06-01",1,1106,"1106. 신방화사거리","정기권","","30대",1,"35.95","0.20",881.31,6
"1931","2021-06-01",1,729,"729. 서부식자재마트 건너편","정기권","","40대",1,"48.23","0.47",2030,11
"1932","2021-06-01",1,1262,"1262. 송파여성문화회관 앞","정기권","","40대",1,"0.00","0.00",0,4
"1935","2021-06-01",1,275,"275. 신동아아파트","정기권","","40대",1,"15.54","0.14",603.56,5
"1936","2021-06-01",1,1359,"1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞","정기권","","40대",1,"0.00","0.00",0,10
"1937","2021-06-01",1,1283,"1283. 오금공원 사거리","정기권","","40대",1,"63.88","0.44",1897.68,7
"1940","2021-06-01",1,1175,"1175. 대한항공 인력개발센터","정기권","","40대",1,"2.81","0.03",141.9,8
"1941","2021-06-01",1,845,"845. 용산 선인상가","정기권","","40대",1,"19.19","0.20",850,6
"1943","2021-06-01",1,2521,"2521.서초 크로바타워 앞","정기권","","40대",1,"24.90","0.17",739.73,5
"1945","2021-06-01",1,382,"382. 약수역 10번출구 앞","정기권","","40대",1,"23.68","0.21",920,9
"1948","2021-06-01",1,3582,"3582.화양동 우체국","정기권","","40대",1,"36.37","0.38",1640,11
"1949","2021-06-01",1,4604,"4604. 원효로다목적체육관 앞","정기권","","40대",1,"39.50","0.29",1246.91,11
"1952","2021-06-01",1,4019,"4019. 상계주공10단지 버스정류소","정기권","","40대",1,"34.75","0.31",1350,10
"1953","2021-06-01",1,613,"613. 신설동역 10번출구 앞","정기권","","40대",1,"20.25","0.15",639.33,4
"1957","2021-06-01",1,1012,"1012. 서울 상운차량","정기권","","40대",1,"24.02","0.24",1045.89,4
"1961","2021-06-01",1,1437,"1437. 늘푸른공원 앞","정기권","","40대",1,"26.88","0.22",930,6
"1962","2021-06-01",1,1636,"1636. 백병원 사거리 농협은행 앞","정기권","","40대",1,"10.81","0.10",420,3
"1966","2021-06-01",1,3505,"3505. 신양초교앞 교차로","정기권","","40대",1,"43.63","0.43",1836.31,8
"1968","2021-06-01",1,1035,"1035. 고덕역 4번출구","정기권","","50대",1,"17.76","0.14",590,5
"1970","2021-06-01",1,1448,"1448. 코스트코 상봉점","정기권","","50대",1,"18.58","0.16",690,5
"1971","2021-06-01",1,1529,"1529. 미아동 한국전력공사","정기권","","50대",1,"8.91","0.10",450,2
"1973","2021-06-01",1,2059,"2059. 보라매공원 정문","정기권","","50대",1,"31.60","0.31",1330.15,8
"1974","2021-06-01",1,3506,"3506. 영동대교 북단","정기권","","50대",1,"21.50","0.17",743.71,3
"1976","2021-06-01",1,2170,"2170. 조원동서울본병원","정기권","","50대",1,"28.60","0.26",1110.95,6
"1979","2021-06-01",1,2281,"2281. 연세사랑병원신관앞","정기권","","50대",1,"14.12","0.13",548.65,4
"1980","2021-06-01",1,830,"830. 청암자이아파트앞","정기권","","50대",1,"26.11","0.22",969.51,9
"1981","2021-06-01",1,2171,"2171. 서울대입구역 5번출구","정기권","","50대",1,"18.22","0.18",793.1,5
"1983","2021-06-01",1,1049,"1049. 강일리버파크 10단지","정기권","","50대",1,"27.64","0.22",956.06,7
"1984","2021-06-01",1,1278,"1278. 송파구청 교차로","정기권","","50대",1,"22.14","0.20",860,6
"1985","2021-06-01",1,1738,"1738. 창동주공17단지 상가앞","정기권","","50대",1,"21.72","0.20",843.69,5
"1987","2021-06-01",1,959,"959. 구파발10단지 인근","정기권","","50대",1,"5.09","0.04",176.1,5
"1988","2021-06-01",1,755,"755. 목동1단지아파트 상가 앞","정기권","","50대",1,"51.33","0.42",1800.4,11
"1989","2021-06-01",1,339,"339. 종로4가 사거리","정기권","","50대",1,"25.64","0.19",819.72,3
"1990","2021-06-01",1,2406,"2406. 논현동 광명빌딩 앞","정기권","","50대",1,"7.65","0.06",264.59,6
"1991","2021-06-01",1,1545,"1545. 솔샘역 2번 출구","정기권","","50대",1,"38.10","0.30",1300,5
"1993","2021-06-01",1,286,"286. 우성아파트 교차로","정기권","","50대",1,"49.65","0.36",1567.39,8
"1996","2021-06-01",1,2638,"2638.쌍용아파트","정기권","","50대",1,"39.08","0.29",1249.29,3
"1997","2021-06-01",1,2639,"2639.석촌역 8번출구","정기권","","50대",1,"0.00","0.00",0,3
"1998","2021-06-01",1,770,"770.목동역5번출구 교통정보센터 앞","정기권","","50대",1,"33.94","0.28",1190.25,8
"2000","2021-06-01",1,1754,"1754. 창동시장입구 사거리","정기권","","50대",1,"29.34","0.26",1140,5
